totalTime,score,pacmanCurrentNodeIndex,ghost1NodeIndex,ghost1EdibleTime,ghost1LairTime,ghost2NodeIndex,ghost2EdibleTime,ghost2LairTime,ghost3NodeIndex,ghost3EdibleTime,ghost3LairTime,ghost4NodeIndex,ghost4EdibleTime,ghost4LairTime,timeOfLastGlobalReversal,pacmanWasEaten,ghost1Eaten,ghost2Eaten,ghost3Eaten,ghost4Eaten,pacmanLastMoveMade_DOWN,pacmanLastMoveMade_LEFT,pacmanLastMoveMade_RIGHT,pacmanLastMoveMade_UP,ghost1LastMove_DOWN,ghost1LastMove_LEFT,ghost1LastMove_NEUTRAL,ghost1LastMove_RIGHT,ghost1LastMove_UP,ghost2LastMove_DOWN,ghost2LastMove_LEFT,ghost2LastMove_NEUTRAL,ghost2LastMove_RIGHT,ghost2LastMove_UP,ghost3LastMove_DOWN,ghost3LastMove_LEFT,ghost3LastMove_NEUTRAL,ghost3LastMove_RIGHT,ghost3LastMove_UP,ghost4LastMove_DOWN,ghost4LastMove_LEFT,ghost4LastMove_NEUTRAL,ghost4LastMove_RIGHT,ghost4LastMove_UP
1315,3750,716,1224,103,0,977,103,0,843,103,0,516,0,0,1218,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1339,3750,834,1127,79,0,1067,79,0,893,79,0,540,0,0,1218,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1351,4150,960,1102,67,0,1108,67,0,1292,0,29,612,0,0,1218,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1363,4180,972,1108,55,0,1102,55,0,1292,0,17,753,0,0,1218,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1399,6660,1223,1292,0,10,1292,0,37,542,0,0,1008,0,0,1218,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1411,6660,1211,496,0,0,1292,0,25,597,0,0,1123,0,0,1218,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1435,6660,948,570,0,0,1292,0,1,702,0,0,1259,0,0,1218,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1447,6680,936,590,0,0,487,0,0,766,0,0,1122,0,0,1218,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1499,6680,1211,936,0,0,694,0,0,1150,0,0,1105,0,0,1218,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1511,6680,1223,948,0,0,798,0,0,1216,0,0,1145,0,0,1218,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
